id,labels
U26639,"beijing city china, tsinghua university, google, chinese academy of sciences, national university of singapore"
U9273,"beijing city china, tsinghua university, tsinghua university, google"
U591,"portland oregon area, zhejiang university, synopsys, ece university of illinois at urbana-champaign, globalfoundries, zhejiang university"
U590,greater los angeles area
U618,"greater atlanta area, sun yat-sen university, zynga, georgia tech research institute, oracle"
U592,"hong kong, university of hong kong, fubon bank, disneyland"
U595,hong kong
U594,"china, university of science and technology of china, baidu inc., chinese university of hong kong, university of science and technology of china"
U597,"hong kong, peking university, chinese university of hong kong"
U596,"hong kong, hong kong university of science and technology, amazon, harmonic, multimedia technology research center hkust, radica systems limited"
U612,"china, sichuan university, shenzhen institute of advanced technology chinese academy of sciences, beijing genomics institute shenzhen, chinese university of hong kong"
U613,san francisco bay area
U610,"greater los angeles area, fudan university, university of southern california, nvidia"
U611,greater philadelphia area
U616,"greater boston area, university of science and technology of china, analog devices inc., university of illinois at urbana-champaign, university of science and technology of china"
U617,urbana-champaign illinois area
U614,"san francisco bay area, nankai university, nvidia, synopsys"
U615,"hong kong, central university of finance and economics, savills"
U685,"san francisco bay area, south china university of technology, nvidia"
U684,urbana-champaign illinois area
U687,"hong kong, hong kong university of science and technology - school of business and management, cluster technology limited, netdimensions"
U686,"hong kong, zhejiang university"
U2065,"hong kong, zhejiang university"
U26567,"singapore, zhejiang university, national university of singapore, elsevier, singtel, microsoft research asia, hypermedia information system, multimedia technologies"
U683,"rest of henan china, sun yat-sen university, henan education and research network center"
U508,hong kong
U509,beijing city china
U506,bryan college station texas area
U507,greater new york city area
U504,"san francisco bay area, sun yat-sen university, google, microsoft corporation"
U11714,"greater seattle area, zhejiang university, amazon, research in motion, university of alberta, corpav inc, university of california los angeles, zhejiang university"
U502,"san francisco bay area, sun yat-sen university, google"
U503,"urbana-champaign illinois area, huazhong university of science and technology, university of illinois at urbana-champaign, jiuzhou engineering consulting co.ltd"
U11658,"raleigh-durham north carolina area, vmware, north carolina state university"
U501,hong kong
U26568,"hong kong, chinese university of hong kong, tfi digital media limited, chinese university of hong kong, hsbc"
U26569,"san francisco bay area, jilin university, ebay, social security administration, option six inc., sproutbox llc., ethos lab indiana university-bloomington, pixsmix inc."
U689,hong kong
U688,"greater new york city area, villanova university, quantitative systems"
U26562,"greater new york city area, zhejiang university, center for computational learning systems, con edison, computer center south china university of technology"
U26563,greater seattle area
U26560,"beijing city china, tsinghua university, google"
U26561,san francisco bay area
U26566,"hong kong, hong kong university of science and technology, university of british columbia, executive search advisors, hsbc"
U680,china
U26564,china
U682,"san francisco bay area, sun yat-sen university, baidu inc."
U26597,"hong kong, zhejiang university, department of computer science hong kong baptist university, baidu inc., tencent, microsoft research asia, university luebeck"
U26596,"greater seattle area, university of science and technology of china, cambridge university, microsoft research redmond, university of hong kong, microsoft research asia beijing p.r.china"
U26595,china
U26594,"singapore, xi'an jiaotong university, national university of singapore, ibm beijing cdl"
U26593,"san francisco bay area, university of ljubljana, stanford university, cornell university, carnegie mellon university, yahoo research, microsoft research, hewlett packard laboratories, jozef stefan institute, carnegie mellon univeristy, royal holloway university of london"
U26592,glasgow united kingdom
U26591,"beijing city china, wuhan university, jingwei inc., google, live search, yahoo, active matrix inc., commerce one inc., verizon"
U26590,"greater seattle area, huazhong university of science and technology, microsoft, limsi cnrs, tsinghua university, intel china research center"
U26599,beijing city china
U26598,san francisco bay area
U586,"china, sun yat-sen university, kpmg"
U587,"greater boston area, sun yat-sen university, tripadvisor, northeastern university, hong kong university of science and technology"
U580,china
U581,hong kong
U627,"urbana-champaign illinois area, university of illinois at urbana-champaign, gv_english"
U626,urbana-champaign illinois area
U625,"beijing city china, tongji university, world bank, university of illinois at urbana-champaign"
U624,"china, sun yat-sen university, alibaba cloud computing company"
U623,"greater new york city area, sun yat-sen university, weill cornell medical college, merck"
U622,"hong kong, northwest university xi'an china, chinese university of hong kong, shaanxi yanchan petroleum (group)"
U26586,"eindhoven area netherlands, zhejiang university, asml, gn resound a s, philips research, zhejiang university china"
U589,"greater new york city area, shandong university, merrill lynch, ernst &amp; young, university of illinois at urbana-champaign, china telecom"
U11277,"greater boston area, university of new haven, inner mongolia university, auri elan financial group, edward jones, bayer healthcare"
U2028,"greater philadelphia area, fudan university"
U26664,"hong kong, zhejiang university"
U26661,hong kong
U26660,hong kong
U26663,"hong kong, zhejiang university, merrill lynch, taobao.com, ibm research - china, ebay china technology center"
U26662,"geneva area switzerland, peking university, technicolor, epfl, google"
U10573,"hong kong, harbin institute of technology, chinese university of hong kong, national university of singapore"
U11997,china
U619,"hong kong, chinese university of hong kong, morgan stanley"
U2055,lafayette indiana area
U555,"greater los angeles area, rice university, cedars-sinai medical center, accenture, dow chemical company"
U11727,"china, zhejiang university, yahoo!, baidu inc., microsoft"
U557,hong kong
U556,"greater boston area, hong kong university of science and technology, south cove community health center, greater boston chinese golden age center, sodexo, tufts medical center, john hancock research center on physical activity nutrition and obesity prevention, boston chinatown neighborhood center, zanjabee integrative medicine &amp; primary care, bill &amp; melinda gates foundation"
U551,china
U550,"hong kong, shanghai jiao tong university, chinese university of hong kong, microsoft research asia, omron, motorola"
U553,"shenzhen city china, sun yat-sen university, morgan stanley huaxin funds, china merchant funds, ryan labs, shenzhen stock exchange"
U552,urbana-champaign illinois area
U656,hong kong
U657,columbus ohio area
U654,hong kong
U655,"china, nankai university"
U559,sydney area australia
U558,"urbana-champaign illinois area, national tsing hua university, university of illinois at urbana-champaign, multicoreware inc, synopsys"
U650,"beijing city china, sun yat-sen university, tencent, alibaba cloud computing company"
U651,hong kong
U26249,"beijing city china, harbin institute of technology, microsoft research asia"
U11701,hong kong
U4319,"urbana-champaign illinois area, zhejiang university, hong kong university of science and technology, exacloud, nvidia, microsoft"
U530,"greater chicago area, university of hong kong, performics, mindshare, rise interactive, phoenix satellite, modern media group, china media project"
U534,austin texas area
U2580,"beijing city china, peking university, microsoft"
U649,china
