id,labels
U486,"urbana-champaign illinois area, sun yat-sen university, nvidia, university of illinois at urbana-champaign, chinese university of hong kong, ericsson mobile data applications technology research and development(guangzhou) co. ltd. (cgc)"
U28861,"greater seattle area, university of washington"
U4899,"san francisco bay area, tsinghua university, hong kong university of science and technology, microsoft research asia, google inc"
U26271,"urbana-champaign illinois area, veermata jijabai technological institute (vjti), deloitte consulting"
U19473,"washington d.c. metro area, university of illinois, bits dubai, comscore inc., illinois business consulting, amko exports, forebross tools pvt. ltd"
U26276,"washington d.c. metro area, intelligent automation inc."
U19574,"greater los angeles area, university of california santa barbara, binc, @walmartlabs"
U19572,"greater chicago area, dalian university of technology, university of illinois at chicago, microsoft research redmond, microsoft research asia"
U26178,"shanghai city china, shanghai jiao tong university, fengdie index information, hewlett-packard, convergys"
U10298,other
U9386,"greater los angeles area, information sciences institute"
U2438,"urbana-champaign illinois area, harbin institute of technology, university of illinois at urbana-champaign, penn state university, harbin institute of technology"
U26176,"san francisco bay area, harvey mudd college, uber inc, yelp.com, harvey mudd college, google, fall river educational television"
U2433,"san francisco bay area, tsinghua university, facebook, national center for supercomputing applications, university of illinois at urbana-champaign, tsinghua university"
U2432,"san francisco bay area, tsinghua university, pinterest"
U2436,"urbana-champaign illinois area, peking university, google, university of illinois at urbana-champaign, at&amp;t labs research, microsoft research asia"
U16308,"vancouver canada area, university of manitoba"
U5832,"urbana-champaign illinois area, university of illinois at urbana-champaign, university of illinois at urbana-champaign, amazon, jump trading llc, cognitive computation group, center for simulation of advanced rockets, thai samsung electronics"
U5833,"greater seattle area, national taiwan university, microsoft, google, national tsing hua university"
U5830,"san francisco bay area, andreessen horowitz"
U12733,"urbana-champaign illinois area, shanghai jiao tong university"
U6187,"greater st. louis area, north central university, saints church - st. louis, kalmat foundation inc., interlink language centers, intervarsity christian fellowship usa, center on democracy in a multiracial society univeristy of illinois, stone creek church, school for international training, university of illinois at urbana-champaign, 2005 - 2006) publication services inc, tcf bank"
U9200,"greater new york city area, city university of new york"
U2506,"urbana-champaign illinois area, shanghai jiao tong university, university of illinois at urbana-champaign"
U6662,"san francisco bay area, beijing university of post and telecommunications, paypal, georgia institute of technology, siemens corporate research"
U2501,"urbana-champaign illinois area, tsinghua university, university of illinois at urbana-champaign"
U11624,"china, zhejiang university, microsoft, morgan stanley"
U11629,"greater san diego area, wuhan university, 3m, uc san diego, nhn, ibm"
U2509,"greater chicago area, argonne national laboratory"
U9273,"beijing city china, tsinghua university, tsinghua university, google"
U16233,"urbana-champaign illinois area, carnegie mellon university, hewlett-packard laboratories, university of illinois at urbana-champaign, google, ibm, carnegie mellon university"
U25908,"houston texas area, cggveritas"
U21173,"new delhi area india, university of illinois at urbana-champaign, ecartes technology private limited, teklink international inc, dunn solutions group"
U591,"portland oregon area, zhejiang university, synopsys, ece university of illinois at urbana-champaign, globalfoundries, zhejiang university"
U9313,"urbana-champaign illinois area, university of illinois at urbana-champaign, zhejiang university, university of illinois at urbana-champaign"
U26188,"china, shanghai jiao tong university, boisgames studio, ubisoft shanghai"
U26189,"san francisco bay area, case western reserve university, yelp.com, fog creek software, ransburg scout reservation"
U26184,"greater san diego area, shanghai jiaotong university, uc san diego, cisco systems, qad inc"
